Date,cci_30,relative_strength_index_14,sma_12,sma_26,stochastic_oscillator
2016-08-29,91.12855588,70.25425048,55.184364,54.69720473,59.9998
2016-08-30,58.94683957,65.80434356,55.20894717,54.75272296,45.99986667
2016-08-31,20.354198,57.73977382,55.18507067,54.79135073,17.3332
2016-09-01,10.91862882,59.3613004,55.19700908,54.85556208,34.31958405
2016-09-02,40.44066555,60.36896827,55.20576283,54.92198138,39.05318511
2016-09-06,10.20549638,59.18385335,55.20655883,54.96903965,35.50307307
2016-09-07,20.23317718,59.89059639,55.20974283,55.02158504,38.46158853
2016-09-08,-9.903259835,55.15863369,55.190642000000004,55.06568162,24.85214523
2016-09-09,-148.3203614,38.00575894,55.05693367,55.05072681,0.0
2016-09-12,-158.860029,49.62209151,54.98530442,55.05129535,46.60187702
2016-09-13,-194.68962580000002,44.11175428,54.85478008,55.01195465,29.77339806
2016-09-14,-207.54618490000001,41.53278156,54.71390875,54.95904538,21.03550162
2016-09-15,-121.4241524,51.95258922,54.64148292,54.93518681,51.13262136
2016-09-16,-60.06292163,52.54029571,54.590546499999995,54.92010346,54.84951992
2016-09-19,-60.79324655,49.09166553,54.54836483,54.88304396,51.162791600000006
2016-09-20,-88.56267525,47.82394368,54.486286,54.85471835,46.51166396
2016-09-21,10.84844937,57.23834753,54.49345,54.854718500000004,83.33328165
2016-09-22,55.40758268,57.75671725,54.51016283,54.86867708,85.65894237
2016-09-23,18.1020987,53.23855969,54.49185708,54.863901500000004,76.15061764
2016-09-26,-83.10232145,47.76969689,54.44967608,54.83818838,53.97495982
2016-09-27,22.67937792,57.15899281,54.588159499999996,54.85031035,95.51020408
2016-09-28,81.07213818,57.78174917,54.66615608,54.86353458,98.77542857
2016-09-29,25.30432956,51.4404493,54.73539792,54.8455355,69.921996
2016-09-30,20.44559821,53.19653736,54.84204667,54.83267923,73.97257897
2016-10-03,-16.97457367,51.39500946,54.86035183,54.80512935,65.75339338
2016-10-04,-27.10920463,49.58675317,54.85955617,54.77611035,57.53439044
2016-10-05,33.63307315,53.50206174,54.91606392,54.75921315,64.42954957
2016-10-06,36.73250902,54.45439528,54.99008117,54.75370327,71.14116932
2016-10-07,58.57691724,55.04924272,54.99326417,54.76619242,75.16781902
2016-10-10,124.29803319999999,57.44367217,55.01077392,54.78272238,79.53226873
2016-10-11,-0.041330581,47.74372154,54.99167275,54.76509069,29.82452037
2016-10-12,-76.89952439,46.94033958,55.00838558,54.74672381,35.6783955
2016-10-13,-83.83112327,45.0034865,54.92640992,54.71954131,28.98542463
2016-10-14,20.3725417,50.76133802,54.87786058,54.71917392,53.14002567
2016-10-17,-20.35395654,48.57082245,54.86353417,54.75627419,43.47833018
2016-10-18,68.02562608,53.34130724,54.86830917,54.77868142,64.73433079
2016-10-19,53.51047388,51.81206553,54.87706392,54.81541419,58.45408621
